corrected_gold,fever_id,claim,original_gold,explanation
Drop,1076,James Jones missed the finals once.,True,"Only once: would be false. He has not made it to finals more than once. At least once: would be true."
False,1746,Sheryl Lee has yet to work with Woody Allen.,False,"In 2016, she appeared in Café Society"
Drop,2447,Colin Kaepernick is a football player.,True,"Was but no longer active."
False,4091,Zac Efron's full name is Zac David Alexander Efron.,False,"Full name is Zachary David Alexander Efron"
False,7041,Kareem Abdul-Jabbar is not ranked 3rd all-time in blocks.,False,"Kareem Abdul-Jabbar is ranked 3rd all-time in blocks with 3,189 blocks"
True,9504,Pink covered the song Rhythm Nation.,True,"She did for Happy Feet 2"
False,10379,The horse was not called a Eohippus when it had multiple toes.,False,"The horse ancestor is Eohippus with multiple toes"
True,12319,Adam Lambert's album premiered at number one on the U.S. Billboard 200.,True,"Trespassing album did in 2012"
Drop,15489,See You on the Other Side is a book.,False,"There is a 2023 children book, but there is a more famous album with the same name"
True,17054,A near-Earth object is not a large orbiting body.,False,"By definition NEOs are small Solar System bodies (excludes planets/moons), so “not large” is correct."
False,18030,Floyd Mayweather Jr. has made 30 career boxing knockouts in different special event professional boxing fights.,True,"His official record is 50–0 with 27 KOs; not 30 (exhibitions don’t change the pro KO total)."
False,20121,Rob Sheridan was born in 1980.,False,"He was born October 11, 1979."
Drop,20603,"Yemen does not have an area of 203,850 square miles.",True,"UN and Wiki disagree"
Drop,24204,Pink is an actress.,True,"Primarily a singer but had small acting roles"
True,24479,Charles de Gaulle was a leader in the French Resistance.,True,"He was the recognized political leader of Free France and the Resistance."
Drop,25551,The Washington Wizards won a title in 1975.,True,"Won a conference title, but apparently in NBA talk title means NBA championship"
Drop,26281,Legendary Entertainment has been a subsidiary of Wanda Group since 2016.,True,"Wanda bought Legendary in 2016, but later ceded control; by 2022–24 it was no longer a Wanda subsidiary."
Drop,27416,"University of Chicago Law School is ranked first for ""Faculty quality based on American Academy of Arts and Sciences Membership."",True,"In Leiter’s law-school metrics, Chicago ranked first on that AAAS-based faculty measure (year-specific)."
False,32429,"Benjamin Franklin was born on April 17th, 1790.",True,"April 17, 1790 is his date of death; he was born January 17, 1706."
